Identifier,Remarks,Filter,default,eng enc ena enz eni ens enj enb enl ent enw,cs,da,de,el,eo,es,esm esn esg esc esa esd esv eso esr ess esf esl esy esz esb ese esh esi esu,fi,fr,hu,it,jp,ko,nl,no nb,pl,pt,ptg,ro,ru,sr,sv,tr,zh,zht
,“Which game?” menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_GAME,,,Which Game?,,,,,,,,,,,,,,,,,Która gra?,,,,Какая игра?,,,,,
WF_GAME_DOOM1,,,DOOM,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_GAME_DOOM2,,,DOOM II,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_GAME_FDOOM,,,Final DOOM,,,,,,,,,,,,,,,,,,,,,Финальный DOOM,,,,,
,“Which campaign?” menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CAMPAIGN,,,Which Campaign?,,,,,,,,,,,,,,,,,Która kampania?,,,,Какая кампания?,,,,,
WF_CAMPAIGN_DOOM1,,,The DOOM Trilogy,,,,,,,,,,,,,,,,,Trylogia DOOM,,,,Оригинальная трилогия DOOM,,,,,
WF_CAMPAIGN_UDOOM,,,The Ultimate DOOM,,,,,,,,,,,,,,,,,,,,,Предельный DOOM,,,,,
WF_CAMPAIGN_DOOM2,,,Hell on Earth,,Peklo na zemi,Helvede på jorden,Hölle auf Erden,Αρμαγεδδών,Infero sur la Tero,Infierno en la Tierra,,Helvetti maan päällä,Enfer sur Terre,Földi pokol,Inferno sulla Terra,第三惑星:地獄,지상에 강림한 지옥,Hel op Aarde,Helvete på jorden,Piekło na Ziemi,Inferno na Terra,,Iadul pe Pământ,Ад на Земле,Пакао на Земљи,Helvetet på jorden,Yeryüzündeki Cehennem,,
WF_CAMPAIGN_MASTER,,,Master Levels,,,,,,,,,,,,,,,,,Poziomy mistrzów,,,,Уровни мастеров,,,,,
WF_CAMPAIGN_NERVE,,,No Rest for the Living,,Nemajíť živí pokoje,Ingen hvile for de levende,Keine Ruhe für die Lebenden,Καμία Ανάπαυση για τους Ζωντανούς,Nenia ripozo por la vivantoj,No hay descanso para los vivos,,Ei lepoa eläville,Pas de repos pour les vivants,Nincs nyugodalom az élőnek,Nessun Riposo per i Vivi,休息なき生計,산 자에게 휴식은 없다,Geen Rust voor de Levenden,Ingen hvile for de levende,Nie ma pokoju dla żywych,Não Há Descanso Para os Vivos,,Cei vii Fără de Odihnă,Не будет покоя живым,Нема одмора живима,Ingen vila för de levande,Yaşayanlara Huzur Yok,,
WF_CAMPAIGN_ID1,,,Legacy of Rust,,,,,,,,,,,,,,,,,,,,,Наследие ржавчины,,,,,
WF_CAMPAIGN_TNT,,,TNT: Evilution,,TNT: Zlovoluce,,,ΤΝΤ: Κακοξέλιξη,TNT: Mavalucio,TNT: Diabolución,,TNT: Paholuutio,,,TNT: Malvoluzione,TNT:邪神化,TNT: 이블루션,Tnt: Evilutie,,TNT: Ewolucja zła,TNT: Malvolução,,TNT: Diavoluția,TNT: Дьяволюция,TNT: Ђаволуција,,,,
WF_CAMPAIGN_PLU,,,The Plutonia Experiment,,Experiment Plutonia,Plutonia-eksperimentet,Das Plutonia Experiment,Το Πείραμα Πλουτώνια,La eksperimento de Plutonia,El experimento Plutonia,,Plutoniakokemus,L'expérience Plutonia,A Plutonia-kísérlet,L'Esperimento di Plutonia,プルトニア記,플루토니아 익스페리먼트,Het Plutonia Experiment,Plutonia-eksperimentet,Eksperyment Plutonia,O Experimento Plutonia,A Experiência Plutonia,Experimentul Plutonia,Эксперимент «Плутония»,Експеримент Плутонија,Plutonia-experimentet,Plutonia Deneyi,,
,“Which episode?” menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_EPISODE_EPI1,The DOOM Trilogy,,Knee-Deep in the Dead,,Po kolena v mrtvých,Knæet dybt i de døde,Knietief im Tod,Βουτηγμένος στους Νεκρούς μέχρι τα γόνατα,Ĝiskole inter mortintoj,Hasta el cuello entre muertos,,Polvia myöten vainajissa,Plongé dans la Mort,Térdig halálban,Nella morte fino al collo,膝元迫る亡者,끝없이 밀려오는 죽음,Knie-diep in de Doden,Knedyp i de døde,Po kolana w trupach,Corpos até os Joelhos,,Îngropat printre Cadavre,По колено в трупах,До колена у лешевима,Knä-djupt i de döda,Ölüme Diz Boyu,,
WF_EPISODE_EPI2,,,The Shores of Hell,,Břehy pekla,Helvedes kyster,Die Ufer der Hölle,Οι Ακτές της Κόλασης,La Infer-bordoj,Las orillas del Infierno,,Hornan rannat,Les Portes de l'Enfer,A pokol tornáca,Le rive dell'Inferno,地獄の瀬戸際,지옥의 해변,De Oevers van de Hel,Helvetes kyster,Przedsionek piekieł,As Margens do Abismo,,Țărmurile Iadului,Прибрежье преисподней,Обале пакла,Helvetets stränder,Cehennem Kıyıları,,
WF_EPISODE_EPI3,,,Inferno,,,,,Πυρ το Εξώτερον,,,,,,Alvilág,,インフェルノ,연옥,,,,,,Infernul,Инферно,Инферно,,İnferno,,
WF_EPISODE_EPI4,The Ultimate DOOM,,Thy Flesh Consumed,,Tvé tělo pozřeto,Dit kød er fortæret,Dein Leib verzehrt,Η Σάρκα σου θα Καταναλωθεί,Kiam konsumiĝos via karno,Cuando tu carne se consuma,,Lihasi kulutettu,Votre Chair Consumée,Megemésztetik a te húsod,La tua Carne Consumata,滅びし汝の身,쇠패해진 그대의 육신,Uw Vlees Geconsumeerd,Ditt kjøtt fortæres,Ciało twe zwiotczeje,No Consumir-se da Tua Carne,,Carnea ta Fără de Vlagă,Твоя плоть поглощена,Твоје месо строшено,Ditt kött är uppslukat,Etin Tükendi,,
WF_EPISODE_EPI5,,,SIGIL,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_EPISODE_EPI6,,,SIGIL II,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_EPISODE_D2E1,Hell on Earth,,The Space Station,,,,,,,,,,,,,,,,,Stacja kosmiczna,,,,Космическая станция,,,,,
WF_EPISODE_D2E2,,,The City,,,,,,,,,,,,,,,,,Miasto,,,,Город,,,,,
WF_EPISODE_D2E3,,,Hell,,,,,,,,,,,,,,,,,Piekło,,,,Ад,,,,,
WF_EPISODE_MLE1,Master Levels,,Tim Willits,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_EPISODE_MLE2,,,Christen Klie,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_EPISODE_MLE3,,,Tom Mustaine,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_EPISODE_MLE4,,,Jim Flynn's Titan,,,,,,,,,,,,,,,,,Tytan Jima Flynna,,,,Титан Джима Флинна,,,,,
WF_EPISODE_MLE5,,,John Anderson's INFERNO,,,,,,,,,,,,,,,,,INFERNO Johna Andersona,,,,Песни Ада Джона Андерсона,,,,,
WF_EPISODE_MLE6,,,Sverre Kvernmo's CABAL,,,,,,,,,,,,,,,,,CABAL Sverrego Kvernmo,,,,КЛИКА Сверре Андре Квернмо,,,,,
WF_EPISODE_TNE1,TNT: Evilution,,Io Base,,,,,,,,,,,,,,,,,Baza na Lo,,,,База Ио,,,,,
WF_EPISODE_TNE2,,,Nighttime Io,,,,,,,,,,,,,,,,,Lo w nocy,,,,Вечерний Ио,,,,,
WF_EPISODE_TNE3,,,Hell on Io,,,,,,,,,,,,,,,,,Piekło na Lo,,,,Ад на Ио,,,,,
WF_EPISODE_PLE1,The Plutonia Experiment,,Earth,,,,,,,,,,,,,,,,,Ziemia,,,,Земля,,,,,
WF_EPISODE_PLE2,,,Hell,,,,,,,,,,,,,,,,,Piekło,,,,Ад,,,,,
WF_EPISODE_PLE3,,,Devil Hive,,,,,,,,,,,,,,,,,Siedlisko demonów,,,,Дьявольский улей,,,,,
WF_EPISODE_ID1EP1,Legacy of Rust,,The Vulcan Abyss,,,,,,,,,,,,,,,,,Wulkaniczna otchłań,,,,Вулканская бездна,,,,,
WF_EPISODE_ID1EP2,,,Counterfeit Eden,,,,,,,,,,,,,,,,,Podrobiony Eden,,,,Поддельный Эдем,,,,,
,options menu text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_TITLE,,,WadFusion Options,,,,,,,,,,,,,,,,,Opcje WadFusion,,,,Настройки WadFusion,,,,,
WF_MENU_RESTART_TEXT,,,Note: Changing any of these compatibility options requires a level restart.,,,,,,,,,,,,,,,,,Uwaga: Zmiana jakichkolwiek z tych ustawień kompatybilności wymaga zresetowania poziomu.,,,,Примечание: Для применения данных настроек совместимости требуется перезапуск уровня.,,,,,
WF_MENU_FD_TEXSWAP,,,Final DOOM texture substitutions,,,,,,,,,,,,,,,,,Zamienione tekstury w Final DOOM,,,,Замена текстур в Финальном DOOM,,,,,
WF_MENU_D2SKY_COMPAT,,,DOOM II custom sky compatibility,,,,,,,,,,,,,,,,,kompatybilność ze zmodyfikowanym niebem w DOOM II,,,,Совместимость с пользовательскими текстурами неба в DOOM II,,,,,
WF_MENU_D1_TEXSWAP,,,DOOM 1 texture substitutions,,,,,,,,,,,,,,,,,Zamienione tekstury w DOOM 1,,,,Замена текстур в DOOM 1,,,,,
WF_MENU_ID1_TEXSWAP,,,Legacy of Rust texture substitutions,,,,,,,,,,,,,,,,,Zamienione tekstury w Legacy of Rust,,,,Замена текстур в Legacy of Rust,,,,,
WF_MENU_MASTERLEVELS_TEXSWAP,,,Master Levels texture substitutions,,,,,,,,,,,,,,,,,Zamienione tekstury w Poziomach mistrzów,,,,Замена текстур в Уровнях мастеров Джима Флинна,,,,,
WF_MENU_KILLCOUNTFIX,,,Don't count summoned and revived enemies,,,,,,,,,,,,,,,,,Nie licz przywołanych i ożywionych przeciwników,,,,Не засчитывать призванных и возрожденных врагов,,,,,
WF_MENU_XBOX_SECRET_EXITS,,,Xbox secret exits,,,,,,,,,,,,,,,,,Sekretne wyjścia z wersji Xbox,,,,Тайные выходы из Xbox,,,,,
WF_MENU_ID1_WEAPSWAP,,,Legacy of Rust weapon substitutions,,,,,,,,,,,,,,,,,Zamienione bronie w Legacy of Rust,,,,Замена оружий из Legacy of Rust,,,,,
WF_MENU_ID1_WEAPSWAP_OPTVAL1,,,Only in LoR,,,,,,,,,,,,,,,,,Tylko w LoR,,,,Только в LoR,,,,,
WF_MENU_ID1_WEAPSWAP_OPTVAL2,,,Everywhere,,,,,,,,,,,,,,,,,Wszędzie,,,,Везде,,,,,
WF_MENU_SIGIL2_SPIDERBOSS,,,SIGIL II Spider Mastermind buff,,,,,,,,,,,,,,,,,Wzmocnienie Pajęczego Mistrza w SIGIL II,,,,Усиление Паука-предводителя в SIGIL II,,,,,
WF_MENU_SIGIL_SHDERS,,,Buckethead soundtrack for SIGIL,,,,,,,,,,,,,,,,,Ścieżka dźwiękowa Buckethead w SIGIL,,,,Саундтрек Buckethead к SIGIL,,,,,
WF_MENU_SIGIL2_SHDERS,,,THORR soundtrack for SIGIL II,,,,,,,,,,,,,,,,,Ścieżka dźwiękowa THORR w SIGIL II,,,,Саундтрек THORR к SIGIL II,,,,,
WF_MENU_HULSHULT_IDKFA,,,Andrew Hulshult's IDKFA soundtrack,,,,,,,,,,,,,,,,,Ścieżka dźwiękowa IDKFA autorstwa Andrew Hulshult,,,,Саундтрек IDKFA Эндрю Хулшульта,,,,,
WF_MENU_BLACKROOMSWAP_E1M4B,,,Replace E1M4 with E1M4B,,,,,,,,,,,,,,,,,Zamień E1M4 na E1M4B,,,,Заменить E1M4 на E1M4B,,,,,
WF_MENU_BLACKROOMSWAP_E1M8B,,,Replace E1M8 with E1M8B,,,,,,,,,,,,,,,,,Zamień E1M8 na E1M8B,,,,Заменить E1M8 на E1M8B,,,,,
WF_MENU_HUD,,,WadFusion HUD Options,,,,,,,,,,,,,,,,,Opcje HUD Wadfusion,,,,Настройки отображения информации WadFusion,,,,,
WF_MENU_HUD_ID24,,,Always show cell and fuel ammo in status bar,,,,,,,,,,,,,,,,,Zawsze pokazuj amunicję dla ogniw i paliwa w pasku statusu,,,,Всегда показывать энергобатареи и топливо в строке состояния,,,,,
WF_MENU_HUD_SWAPHEALTHARMOR,,,Swap health and armor in fullscreen HUD,Swap health and armour in fullscreen HUD,,,,,,,,,,,,,,,,Zamień zdrowie i pancerz w pełnoekranowym HUD,,,,Поменять здоровье и броню местами в полноэкранном отображении информации,,,,,
WF_MENU_HUD_ULTRAWIDE,,,Horizontal fullscreen HUD offset,,,,,,,,,,,,,,,,,Poziome przesunięcie pełnoekranowego HUD,,,,Горизонтальное смещение полноэкранного отображения информации,,,,,
WF_MENU_CREDITS,,,WadFusion Credits,,,,,,,,,,,,,,,,,Autorzy WadFusion,,,,Разработчики WadFusion,,,,,
WF_MENU_CREDITS_TITLE,,,Credits,,,,,,,,,,,,,,,,,Autorzy,,,,Разработчики,,,,,
WF_MENU_CREDITS_DOOM2,,,DOOM II: Hell on Earth,,,,,,,,,,,,,,,,,DOOM II: Piekło na Ziemi,,,,DOOM II: Ад на Земле,,,,,
WF_MENU_CREDITS_D2ML,,,Master Levels for DOOM II,,,,,,,,,,,,,,,,,Poziomy Mistrzów dla Doom 2,,,,Уровни мастеров для DOOM II,,,,,
WF_NAME,,,WadFusion,,,,,,,,,,,,,,,,,,,,,,,,,,
,credits headings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_DEVPUB,,,Developed and Published by,,,,,,,,,,,,,,,,,Stworzone i wydane przez,,,,Разработчик и издатель,,,,,
WF_CRED_CODE,,,Programmers,,,,,,,,,,,,,,,,,Programiści,,,,Программисты,,,,,
WF_CRED_ART,,,Artists,,,,,,,,,,,,,,,,,Artyści,,,,Художники,,,,,
WF_CRED_BIZ,,,Business,,,,,,,,,,,,,,,,,Biznes,,,,Бизнес,,,,,
WF_CRED_SUPPORT,,,Software Support,,,,,,,,,,,,,,,,,Wsparcie programu,,,,Поддержка ПО,,,,,
WF_CRED_AUDIO,,,Music and Sound,,,,,,,,,,,,,,,,,Muzyka i dźwięk,,,,Музыка и звуки,,,,,
WF_CRED_AUDIO_CODE,,,Sound Code,,,,,,,,,,,,,,,,,Kod dźwięku,,,,Звуковой код,,,,,
WF_CRED_LD,,,Level Designers,,,,,,,,,,,,,,,,,Projektanci poziomów,,,,Дизайнеры уровней,,,,,
WF_CRED_THANKS,,,Special Thanks,,,,,,,,,,,,,,,,,Podziękowania dla,,,,Особая благодарность,,,,,
WF_CRED_DEV,,,Developed by,,,,,,,,,,,,,,,,,Stworzone przez,,,,Разработчик,,,,,
WF_CRED_PUB,,,Published by,,,,,,,,,,,,,,,,,Wydane przez,,,,Издатель,,,,,
WF_CRED_ORIG,,,Original DOOM Code and Art Assets,,,,,,,,,,,,,,,,,Oryginalny kod i  zasoby DOOM,,,,Оригинальный код и художественные ресурсы,,,,,
WF_CRED_MUSIC,,,Music,,,,,,,,,,,,,,,,,Muzyka,,,,Music,,,,,
WF_CRED_COVER,,,Cover Art,,,,,,,,,,,,,,,,,Okładka,,,,Обложка,,,,,
WF_CRED_LD1,,,Level Designer,,,,,,,,,,,,,,,,,Projektant poziomów,,,,Дизайн уровней,,,,,
WF_CRED_TEST,,,Playtesters,,,,,,,,,,,,,,,,,Testerzy,,,,Тестеры,,,,,
WF_CRED_XBOXLD,,,Xbox Port Level Designers,,,,,,,,,,,,,,,,,Projektanci poziomów portu na Xbox,,,,Дизайнеры уровней из порта на Xbox,,,,,
WF_CRED_XBOXLD1,,,Xbox Port Level Designer,,,,,,,,,,,,,,,,,Projektant poziomów portu na Xbox,,,,Дизайнер уровня из порта на Xbox,,,,,
WF_CRED_SOUND,,,Sound,,,,,,,,,,,,,,,,,Dźwięk,,,,Звуки,,,,,
WF_CRED_IDDM1,,,id Deathmatch Pack #1,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_REMIX,,,Remixed DOOM and DOOM II Music,,,,,,,,,,,,,,,,,Zremiksowana muzyka DOOM i DOOM II,,,,Ремикшированная музыка DOOM и DOOM II,,,,,
WF_CRED_WF,,,WadFusion,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_WS,,,Original WadSmoosh,,,,,,,,,,,,,,,,,Oryginalny WadSmoosh,,,,Оригинальный WadSmoosh,,,,,
WF_CRED_CONTRIBUTORS,,,Contributors,,,,,,,,,,,,,,,,,Kontrybutorzy,,,,Внесшие вклад,,,,,
WF_CRED_OMG,,,Omgifol Library,,,,,,,,,,,,,,,,,Biblioteka Omgifol,,,,Библиотека Omgifol,,,,,
WF_CRED_WIDEPIX,,,WidePix,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_ID,credits,,id Software,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_NERVE,,,Nerve Software,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_TNT,,,TeamTNT,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_ROMEROGAMES,,,Romero Games,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_NIGHTDIVE,,,Nightdive Studios,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_MACHINEGAMES,,,MachineGames,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_GTINTERACTIVE,,,GT Interactive Software,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_BETHESDA,,,Bethesda Softworks,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_JOHN_CARMACK,id Software,,John Carmack,,,,,,,,,,,,,,,,,,,,,Джон Кармак,,,,,
WF_CRED_ABRASH,,,Mike Abrash,,,,,,,,,,,,,,,,,,,,,Майк Абраш,,,,,
WF_CRED_TAYLOR,,,Dave Taylor,,,,,,,,,,,,,,,,,,,,,Дэйв Тейлор,,,,,
WF_CRED_ADRIAN_CARMACK,,,Adrian Carmack,,,,,,,,,,,,,,,,,,,,,Адриан Кармак,,,,,
WF_CRED_CLOUD,,,Kevin Cloud,,,,,,,,,,,,,,,,,,,,,Кевин Клауд,,,,,
WF_CRED_WILBUR,,,Jay Wilbur,,,,,,,,,,,,,,,,,,,,,Джей Уилбур,,,,,
WF_CRED_RADEK,,,Paul Radek,,,,,,,,,,,,,,,,,,,,,Пол Радек,,,,,
WF_CRED_PRINCE,,,Robert Prince,,,,,,,,,,,,,,,,,,,,,Роберт Принс,,,,,
WF_CRED_HALL,,,Tom Hall,,,,,,,,,,,,,,,,,,,,,Том Холл,,,,,
WF_CRED_CHASAR,,,Theresa Chasar,,,,,,,,,,,,,,,,,,,,,Тереза Часар,,,,,
WF_CRED_PUNCHATZ,,,Gregor Punchatz,,,,,,,,,,,,,,,,,,,,,Грегор Пунчац,,,,,
WF_CRED_CALVIN,xbox,,David Calvin,,,,,,,,,,,,,,,,,,,,,Дэвид Кэлвин,,,,,
WF_CRED_BLANSHINE,,,David Blanshine,,,,,,,,,,,,,,,,,,,,,Дэвид Бланшайн,,,,,
WF_CRED_KIDBY,Team TNT,,Brian Kidby,,,,,,,,,,,,,,,,,,,,,Брайан Кидби,,,,,
WF_CRED_SNELL,,,Mark Snell,,,,,,,,,,,,,,,,,,,,,Марк Снелл,,,,,
WF_CRED_ELBIZRI,,,Jonathan El-Bizri,,,,,,,,,,,,,,,,,,,,,Джонатан Эль-Бизри,,,,,
WF_CRED_MARTEL,,,Josh Martel,,,,,,,,,,,,,,,,,,,,,Джош Мартел,,,,,
WF_CRED_LA_SIEBEN,,,L.A. Sieben,,,,,,,,,,,,,,,,,,,,,Л. А. Зибен,,,,,
WF_CRED_BOB_MUSTAINE,,,Bob Mustaine,,,,,,,,,,,,,,,,,,,,,Боб Мастейн,,,,,
WF_CRED_BUCKETHEAD,Sigil,,Buckethead,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_PADDOCK,,,James Paddock,,,,,,,,,,,,,,,,,,,,,Джеймс Пэддок,,,,,
WF_CRED_LOVELL,,,Christopher Lovell,,,,,,,,,,,,,,,,,,,,,Кристофер Ловелл,,,,,
WF_CRED_KLIMES,,,Boris Klimeš,,,,,,,,,,,,,,,,,,,,,Борис Климеш,,,,,
WF_CRED_BAUMGARDNER,,,Kurt Baumgardner,,,,,,,,,,,,,,,,,,,,,Курт Баумгарднер,,,,,
WF_CRED_THORR,,,THORR,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_FLAMBEAU,,,FLAMBEAU,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_UBERGWEI,,,UberGewei,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_KEYBOARD_DOOMER,,,KEYBOARD_DOOMER,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_DEW,,,dew,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_AF_DOMAINS,,,AF-Domains,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_TROPIANO,Legacy of Rust,,Matt Tropiano,,,,,,,,,,,,,,,,,,,,,Мэтт Тропиано,,,,,
WF_CRED_BOUVE,,,Andrew 'saar' Bouvé,,,,,,,,,,,,,,,,,,,,,Эндрю «saar» Буве,,,,,
WF_CRED_BOYLE,,,Joshua 'tokyopunchout' Boyle,,,,,,,,,,,,,,,,,,,,,Джошуа «tokyopunchout» Бойл,,,,,
WF_CRED_POLJO,,,Jonatan Pöljö,,,,,,,,,,,,,,,,,,,,,Джонатан Пёльё,,,,,
WF_CRED_CANN,,,Dakota Cann,,,,,,,,,,,,,,,,,,,,,Дакота Канн,,,,,
WF_CRED_HODGSON,,,Chris Hodgson,,,,,,,,,,,,,,,,,,,,,Крис Ходжсон,,,,,
WF_CRED_BERRONES,,,Roger Berrones,,,,,,,,,,,,,,,,,,,,,Роджер Берронес,,,,,
WF_CRED_MOSSHOLDER,,,Chad Mossholder,,,,,,,,,,,,,,,,,,,,,Чад Моссхолдер,,,,,
WF_CRED_HULSHULT,,,Andrew Hulshult,,,,,,,,,,,,,,,,,,,,,Эндрю Хулшулт,,,,,
WF_CRED_OWLET,WadFusion,,Owlet VII,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_BROWN,,,jdbrown,,,,,,,,,,,,,,,,,,,,,Джей-Ди Браун,,,,,
WF_CRED_LEBRETON,,,JP LeBreton,,,,,,,,,,,,,,,,,,,,,Джей-Пи ЛеБретон,,,,,
WF_CRED_JOHANSSON,,,Fredrik Johansson,,,,,,,,,,,,,,,,,,,,,Фредрик Йоханссон,,,,,
WF_CRED_ACKER,,,Devin Acker,,,,,,,,,,,,,,,,,,,,,Девин Акер,,,,,
WF_CRED_MUHANDES,,,Nash Muhandes,,,,,,,,,,,,,,,,,,,,,Нэш Мухандес,,,,,
WF_CRED_SHOCKWAVE,,,Shockwave_S08,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_CRED_DOMYOJI81,,,domyoji81,,,,,,,,,,,,,,,,,,,,,,,,,,
,map author names,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_AU_ROMERO,doom1/2,,John Romero,,,,,,,,,,,,,,,,,,,,,Джон Ромеро,,,,,
WF_AU_ROMERO_HALL,,,John Romero & Tom Hall,,,,,,,,,,,,,,,,,John Romero i Tom Hall,,,,Джон Ромеро и Том Холл,,,,,
WF_AU_PETERSEN_HALL,,,Sandy Petersen & Tom Hall,,,,,,,,,,,,,,,,,Sandy Petersen i Tom Hall,,,,Сэнди Питерсен и Том Холл,,,,,
WF_AU_PETERSEN,,,Sandy Petersen,,,,,,,,,,,,,,,,,,,,,Сэнди Питерсен,,,,,
WF_AU_MCGEE,,,American McGee,,,,,,,,,,,,,,,,,,,,,Американ Макги,,,,,
WF_AU_GREEN,,,Shawn Green,,,,,,,,,,,,,,,,,,,,,Шон Грин,,,,,
WF_AU_WILLITS_CHASAR,,,Tim Willits & Theresa Chasar,,,,,,,,,,,,,,,,,Tim Willits i Theresa Chasar,,,,Тим Уиллитс и Тереза Часар,,,,,
WF_AU_ANDERSON,,,John Anderson,,,,,,,,,,,,,,,,,,,,,Джон Андерсон,,,,,
WF_AU_WILLITS,,,Tim Willits,,,,,,,,,,,,,,,,,,,,,Тим Уиллитс,,,,,
WF_AU_MCGEE_PETERSEN,,,American McGee & Sandy Petersen,,,,,,,,,,,,,,,,,American McGee i Sandy Petersen,,,,Американ Макги и Сэнди Питерсен,,,,,
WF_AU_KLIE,master levels,,Christen Klie,,,,,,,,,,,,,,,,,,,,,Кристен Кли,,,,,
WF_AU_MUSTAINES,,,Tom & Bob Mustaine,,,,,,,,,,,,,,,,,Tom i Bob Mustaine,,,,Том и Боб Мастейн,,,,,
WF_AU_FLYNN,,,Jim Flynn,,,,,,,,,,,,,,,,,,,,,Джим Флинн,,,,,
WF_AU_KVERNMO,,,Sverre André Kvernmo,,,,,,,,,,,,,,,,,,,,,Сверре Андре Квернмо,,,,,
WF_AU_KVERNMO_HYNE,,,Sverre André Kvernmo & Gregory Lee Hyne,,,,,,,,,,,,,,,,,Sverre André Kverno i Gregory Lee Hyne,,,,Сверре Андре Квернмо и Грегори Ли Хайн,,,,,
WF_AU_MEAKIM,nerve,,Russell Meakim,,,,,,,,,,,,,,,,,,,,,Рассел Миким,,,,,
WF_AU_IWAKURA,,,Arya Iwakura,,,,,,,,,,,,,,,,,,,,,Арья Ивакура,,,,,
